Name,Ticker,"Sub-Sector","Market Cap","Total Revenue","Taxes & Other Items","Interest & Other Items","Payout Ratio","Earnings Per Share","Net Income","Depreciation & Amortization","PBT","Dividend Per Share","EBITDA","PBIT","Employee Cost","Operating & Other expenses"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1980407.5701076603","917508","35106","23118","0.10211630764769869","97.92755173346067","69621","50832","104727","10","178677","127845","25679","23497"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1572475.1066355698","245315","16089","778","0.578582315765226","126.17046530959225","45908","4985","61997","73","67760","62775","140131","13231"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1292493.0053462","407994.77","12506.560000000001",,"0.20054367784416466","97.23567558760318","64062.04000000005","3092.08","76568.60000000005","19.5","79660.68000000005","76568.60000000005","31023","206448.21999999997"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","990567.73873839","154127.19999999998","5212","22647.7","0.6226066199008994","12.849204849883163","7466.9999999999745","39537.6","12678.999999999975","8","74864.29999999997","35326.699999999975","5323.1","51666.8"
ICICI Bank Ltd,ICICIBANK,"Private Banks","907662.5288359651","236037.72999999998","16177.989999999998",,"0.158233497091267","63.197743738369965","44256.37999999996","1935.21","60434.36999999996","10","62369.57999999996","60434.36999999996","19171.98","143220.71000000002"
Infosys Ltd,INFY,"IT Services & Consulting","783709.666210575","158381","9755","470","0.7256348373422788","63.39276676472742","26233","4678","35988","46","41136","36458","82620","28705"
State Bank of India,SBIN,"Public Banks","707498.65070535","594574.9","24155.389999999996",,"0","75.1681456883903","67084.65000000004","3849.12","91240.04000000004",,"95089.16000000003","91240.04000000004","83671.19","396179.38"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","675707.20308227","62900","3649","334","0.960229960144011","43.73952255530647","10277","1216","13926","42","15476","14260","3009","6374"
Life Insurance Corporation Of India,LICI,"Insurance","644264.26582386","860795.03","6097.69",,"0.15458554204544214","64.68910266563213","40915.84999999998","465.94","47013.53999999998","10","47479.47999999998","47013.53999999998","39624.76","222.65000000002328"
ITC Ltd,ITC,"FMCG - Tobacco","634573.020095235","73636.45","6681.1","80.06","0.8371708111108043","16.42436623149312","20458.78","1816.39","27139.88","13.75","29036.33","27219.940000000002","6134.35","3330.9899999999957"
Larsen and Toubro Ltd,LT,"Construction & Engineering","512934.9724705","225385.38","7457.999999999999","9512.17","0.3619125939899422","93.94533532299482","13059.110000000015","3682.33","20517.110000000015","34","33711.610000000015","30029.280000000013","41171.02","67522.27"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","475332.30518685","111408","5265","553","0.8986790535727931","57.86270392446394","15702","4173","20967","52","25693","21520","62480","18263"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","471975.55668495","54990.149999999994","4858.400000000001",,"0.1522625421609462","236.4337248615414","14451.169999999995","683.32","19309.569999999996","36","19992.889999999996","19309.569999999996","6396.01","24011.48"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","440517.900492","49887.17","1511.51","238.47","0.3382386882621617","39.91264296039498","9576.380000000001","2556.64","11087.890000000001","13.5","13883","11326.36","9429.06","4410.660000000003"
NTPC Ltd,NTPC,"Power Generation","401587.42793961003","183891.79","7329.76","12300.51","0.36108764047138425","21.46293345815634","20811.890000000007","16203.63","28141.65000000001","7.75","56645.79000000001","40442.16000000001","7534.09","191.59000000000196"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","383700.04533533996","146205.80000000002","3936.3","193.6","0.2856583133776185","437.5857244342108","13488.200000000023","5255.8","17424.500000000022","125","22873.90000000002","17618.10000000002","6301.6","3794.799999999998"
Axis Bank Ltd,AXISBANK,"Private Banks","383678.81674458","137989.36000000002","8791.8",,"0.011679253524569645","85.62191050106927","26386.200000000037","1388.46","35178.00000000004","1","36566.460000000036","35178.00000000004","12193.68","82660.20999999999"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","365754.43860764","94273.91","5650.17",,"0.021821949453171622","91.65084009986643","18213.210000000006","791.75","23863.380000000005","2","24655.130000000005","23863.380000000005","10347.31","54003.770000000004"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","365331.30814224","606208.1","27638.7","10194.17","0.3130925882584306","39.125806420842814","49221.360000000044","28762.75","76860.06000000004","12.25","115816.98000000004","87054.23000000004","15281.06","203476.6999999999"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","354119.4567646","444589.67000000004","-3443.9800000000005","9985.76","0.06455291903141137","94.49611406467533","31399.090000000022","27270.13","27955.110000000022","6.1","65211.00000000003","37940.870000000024","42486.64","17610.350000000035"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","342623.97496336","50935.27999999999","925.1600000000001","58.13","0","39.04812574916352","2536.1699999999973","730.76","3461.329999999997","0","4250.2199999999975","3519.4599999999973","906.12","1167.9099999999967"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","337018.53140122996","98282.73999999999","1686.59","4554.7","0.04574713948850918","28.41707731969855","3239.550000000002","3042.15","4926.140000000002","1.3","12522.990000000002","9480.840000000002","2330.95","23619.74999999999"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","336486.49030176003","142376.12","4709.15","7488.21","0.21653927765728642","97.44190628267758","11268.639999999983","4723.78","15977.789999999983","21.1","28189.77999999998","23465.99999999998","10624.33","7907.009999999998"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335202.07043782005","71547.1","2417.2200000000003","968","0.2884802876516769","242.65089503973635","7005.000000000012","3145.3","9422.220000000012","70","13535.520000000013","10390.220000000012","3037.58","6623.0499999999865"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","330461.4782546","51618","1127","619","0.2800343249427918","39.28089887640449","3496","584","4623","11","5826","5242","1864","-1506"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","328536.80179572","46574.04","2331.8","60.36","0.2917071155023715","274.24768114492434","7708.239999999999","364.77","10040.039999999999","80","10465.17","10100.4","1627","1360.9299999999996"
Asian Paints Ltd,ASIANPAINT,"Paints","313930.412771535","36315.69","1887.5400000000002","205.17","0.5849806035093758","56.9249643496364","5460.230000000002","853","7347.770000000002","33.3","8405.940000000002","7552.940000000002","2326.18","4218.88"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","310919.18566917","47000.729999999996","2940.79","8772.75","0.6718717471093462","16.74426711407628","15573.159999999993","13095.27","18513.949999999993","11.25","40381.969999999994","27286.699999999993","2697","2192.6600000000003"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","309013.05580823997","10749","571","5006","0","6.944302059948041","1100","1903","1671","0","8580","6677","77","1869"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","308640.6524616","28209.980000000003","1527.9299999999998","2732.94","0","37.546844006370165","8110.640000000001","3888.46","9638.570000000002",,"16259.970000000001","12371.510000000002","1896.4","7402.02"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","300915.58493214","110391.09","13227.24",,"0.01955599771839971","51.135207438643086","8147.790000000003","900.13","21375.030000000002","1","22275.160000000003","21375.030000000002","10360.95","24311.549999999996"
Coal India Ltd,COALINDIA,"Mining - Coal","300186.49680817","150719.89","11410.32","819.37","0.4201602959030045","60.691122527881035","37402.29000000003","6735.42","48812.61000000003","25.5","56367.40000000003","49631.98000000003","48782.58","37166.07"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","296778.937875","32304.18","2603.83","42.63","0.3071377959729958","113.95536615453629","7621.050000000001","1407.17","10224.880000000001","35","11674.68","10267.51","5290.69","2167.750000000001"
Wipro Ltd,WIPRO,"IT Services & Consulting","281198.868392315","92391.1","3675.8","1255.2","0.048496432780755425","20.620073326234927","11045.200000000004","3407.1","14721.000000000005","1","19383.300000000007","15976.200000000006","54930.1","12330.200000000004"
Trent Ltd,TRENT,"Retail - Apparel","260785.6013896","13364.019999999999","434.03000000000003","367.66","0.07651061845574401","41.82426001236644","1486.7999999999975","671.11","1920.8299999999974","3.2","2959.5999999999976","2288.4899999999975","1036.64","300.37000000000035"
Adani Power Ltd,ADANIPOWER,"Power Generation","251356.71078497003","60281.479999999996","-37.28","3388.09","0.0007406938071774697","54.00342167356076","20828.78999999999","3931.33","20791.50999999999","0.04","28110.929999999993","24179.59999999999","643.7","2618.92"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","250406.0768094","25324.25","1356.03","145.49","0.7894005490180125","40.790445408298375","3932.84","537.78","5288.87","32.2","5972.139999999999","5434.36","2336.06","2310.1200000000013"
Zomato Ltd,ZOMATO,"Online Services","240161.1300081","12961","-60","72","0","0.41186957781295025","351","526","291","0","889","363","1659","593"
Siemens Ltd,SIEMENS,"Conglomerates","240035.73547765","20079.7","678.8000000000001","22.8","0.18161061502371367","55.06286071821439","1960.8999999999992","320.8","2639.6999999999994","10","2983.2999999999997","2662.4999999999995","2013","3865.1"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","237872.26056163502","781740.63","15558.099999999999","7880.63","0.3960219210830466","30.301352933146283","41729.69","15866.11","57287.79","12","81034.53","65168.42","11670.94","33944.37000000005"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","233162.98775352002","176599","4568","8105","0.25155088962437583","29.01997290051569","8812","8172","13380","7.3","29657","21485","4591","31576"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","220395.42848172","2283.2","351.34",,"0","5.049482769164258","1604.55","21.52","1955.8899999999999","0","1977.4099999999999","1955.8899999999999","116.04","26.539999999999992"
DLF Ltd,DLF,"Real Estate","213050.07853542","6958.34","-576.5600000000001","356.45","0.45383588903963895","11.017198332596587","2727.1000000000013","147.95","2150.5400000000013","5","2654.940000000001","2506.990000000001","545.95","3174.61"
Varun Beverages Ltd,VBL,"Soft Drinks","210091.96778135","16121.939999999999","683.4399999999999","291.6","0.15797835362442908","15.82495286628567","2055.9100000000003","680.91","2739.3500000000004","2.5","3711.86","3030.9500000000003","1446.59","669.6299999999987"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","207214.231136","26655.920000000002","0",,"0.30571463995471054","4.906536370722104","6412.110000000003","9.44","6412.110000000003","1.5","6421.550000000003","6412.110000000003","11.17","20223.2"
Bharat Electronics Ltd,BEL,"Electronic Equipments","206757.094178265","20938.38","1281.6899999999998","12.06","0.40359976669209835","5.450944677275681","3984.5200000000013","443.2","5266.210000000001","2.2","5721.470000000001","5278.270000000001","2489.49","1198.2200000000003"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","204927.9715","30006","2548","955","0.7083332065987884","18.35294446016762","7759","3468","10307","13","14730","11262","828","10704"
Interglobe Aviation Ltd,INDIGO,"Airlines","190220.126290185","71231.16","-123.14999999999999","4208.02","0","211.85189470296748","8172.460000000001","6425.73","8049.310000000001","0","18683.06","12257.330000000002","6461.86","19448.13"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","188495.16176913","36218.9","1466.6","221.7","0.41976415480892965","154.8488579964314","4582.100000000008","818.9","6048.700000000007","65","7089.300000000007","6270.400000000007","22732.3","4978.199999999999"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","188001.98500746","231074.15","3290.4000000000005","7507.57",,"-3.5950044984466083","-4437.439999999998","9882.16","-1147.0399999999972","3.6","16242.690000000002","6360.5300000000025","24509.58","55588.350000000006"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","184599.47890473","133665.46","184.01",,"0.1427410035220776","18.915377735749168","1893.7699999999656","76.23","2077.7799999999656","2.7","2154.0099999999657","2077.7799999999656","2398.29","129113.16000000002"
Grasim Industries Ltd,GRASIM,"Cement","182708.35982911","132331.26","8075.32","9277.43","0.11730353156499526","85.2489253016157","5624.489999999998","5001.32","13699.809999999998","10","27978.559999999998","22977.239999999998","7963.18","27165.050000000003"
Vedanta Ltd,VEDL,"Metals - Diversified","175007.53134748","150074","16124","9465","2.588818117480538","11.39516129032258","4239","10723","20363","29.5","40551","29828","3300","24464"
ABB India Ltd,ABB,"Heavy Electrical Equipments","164975.967646875","10748.210000000001","410.71","16.97","0.4060560625578677","58.61259612792562","1242.050000000001","119.92","1652.7600000000011","23.8","1789.6500000000012","1669.7300000000012","715.15","582.7699999999998"
Power Finance Corporation Ltd,PFC,"Specialized Finance","162381.5071008","91586.15","13826.96",,"0.2254491829427017","59.88045653477062","19761.160000000003","53.4","33588.12","13.5","33641.520000000004","33588.12","496.76","56990.7"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","162364.68920115","12522.64","649.9699999999999","51.19","0.47042226925256453","34.011995276970566","1729.38","340.66","2379.35","16","2771.2","2430.54","1465.07","850.2300000000004"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","157064.23643592","52922.9","866.6","392.2","1.4949823903638944","26.75616800426899","2357.8000000000065","1817.1","3224.4000000000065","40","5433.700000000006","3616.6000000000063","29128.3","14882.1"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","153315.464240575","217523","3857","3858","0.0774707749876908","45.17832693110543","10155","7521","14012","3.5","25391","17870","14547","21219"
Ambuja Cements Ltd,AMBUJACEM,"Cement","152738.28687078","34560.51","2323.83","276.38","0.1169574175727397","17.100240767167534","3576.7900000000027","1623.38","5900.620000000003","2","7800.380000000003","6177.000000000003","1352.79","3108.2099999999955"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","150359.49434524","102006.61","-596.8",,"0.27319531920029844","7.320769645155089","1574.090000000008","78.75","977.2900000000081","2","1056.0400000000081","977.2900000000081","3278.25","1211.9900000000052"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","147489.6793482","16983.45","773.66","164","0.8273547537398179","88.83734536819243","2139.8100000000004","300.46","2913.4700000000003","73.5","3377.9300000000003","3077.4700000000003","708.7","1555.68"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","146493.899834605","14365.060000000001","758.78","309.57",,"-5.4807696125142265","-560.5499999999988","240.96","198.2300000000011","10","748.7600000000011","507.8000000000011","1249.34","3243.0199999999995"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","145817.16945168","451383.29","9335.6","4148.89","0.3335241076904288","62.96396427058829","26858.84000000001","6771.26","36194.44000000001","21","47114.59000000001","40343.33000000001","3577.17","15201.649999999987"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","145188.7484307","8184","563","4","0.4977535875","60.27078609453518","1600","378","2163","30","2545","2167","1094","410"
Bajaj Housing Finance Ltd,BAJAJHFL,"Consumer Finance","144626.595609566","7617.71","430.1",,"0","2.5792310435789543","1731.2200000000003","39.6","2161.32","0","2200.92","2161.32","465.63","4951.16"
REC Limited,RECLTD,"Specialized Finance","143787.19652","47571.23","3814.48",,"0.29784527332444466","53.71916707427854","14145.460000000003","23.99","17959.940000000002","16","17983.930000000004","17959.940000000002","238.03","28866.670000000002"
Gail (India) Ltd,GAIL,"Gas Distribution","143297.28573954199","135927.47000000003","2695.7900000000004","719.2","0.36531209566511136","15.055619743404161","9899.220000000045","3672","12595.010000000046","5.5","16986.210000000046","13314.210000000046","2480.68","2222.129999999991"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","140786.66044082","64928.89","2035.77","4633.22","0.17298569344606013","11.56164975355973","3696.2500000000014","3786.37","5732.020000000001","2","14151.61","10365.240000000002","4254.82","5919.689999999998"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","138347.418608256","99116.9","1124","1811.2","0.1995853432442395","4.00831036485987","2716.1999999999834","3810.5","3840.1999999999834","0.8","9461.899999999983","5651.399999999983","23538.5","4704.8000000000075"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","134404.88220208","36412.990000000005","2593.79",,"0.22914853611950484","196.3791729244639","7366.380000000007","587.6","9960.170000000007","45","10547.770000000008","9960.170000000007","3471.52","20350.09"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","133640.062908825","19419.87","1185.25",,"0.04863418530669051","41.12333716269457","3420.0600000000004","198.06","4605.31","2","4803.370000000001","4605.31","2478.6","11476.35"
Cipla Ltd,CIPLA,"Pharmaceuticals","133376.5963872","26520.66","1580.35","89.88","0.2546217990197864","51.05611558022879","4121.549999999997","1051.02","5701.899999999997","13","6842.799999999997","5791.779999999997","4310.04","2417.070000000001"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","132929.03647485","18059.37","1201.01","50.88","0.34880751610218436","146.21244567751623","4001.0099999999975","597.6","5202.019999999998","51","5850.499999999998","5252.899999999998","1235.69","320.30999999999904"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","132299.88407115","39250.56","1016.55","1927.72","0.22537740306101245","35.49601642110634","1686.370000000002","975.12","2702.920000000002","8","5605.760000000002","4630.640000000002","3385.19","3571.749999999996"
JSW Energy Ltd,JSWENERGY,"Power Generation","130963.1188866","11957.85","444.2","2053.4","0.19045994253240528","10.500895744309675","1722.7100000000003","1633.41","2166.9100000000003","2","5853.72","4220.31","364.47","793.8500000000003"
Macrotech Developers Ltd,LODHA,"Real Estate","128223.28904471999","10469.5","478.5","481.7","0.1421979346798142","15.823014624412828","1549.0999999999988","203.9","2027.5999999999988","2.25","2713.199999999999","2509.299999999999","471.2","6508.6"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","124618.9727346","18838.969999999998","436.61","84.21","0.443779112971766","20.28035961343813","1270.759999999997","338.5","1707.3699999999972","9","2130.079999999997","1791.5799999999972","1548.51","1228.7299999999993"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","123026.70623841001","141778.71","7031.969999999999",,"0.20997190636306207","36.19531837206284","18767.379999999983","1701.65","25799.349999999984","7.6","27500.999999999985","25799.349999999984","16966.69","91273.73000000001"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","120119.085343","7668.76","225.3",,"0.20061962995427404","652.9769795201895","7267.21","33.86","7492.51","131","7526.37","7492.51","51.66","22.769999999999996"
Punjab National Bank,PNB,"Public Banks","119744.79419325","123222.25","5052.749999999999",,"0.1813567653834328","8.270990039046138","9107.200000000004","905.6","14159.950000000003","1.5","15065.550000000003","14159.950000000003","18643.24","84843.62"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","119283.14088405","38643.16","1345.37","76.37","0.7472516010072547","187.3532285662387","3744.8300000000027","757.36","5090.200000000003","140","5923.930000000002","5166.570000000002","2631.54","2444.7600000000007"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","118812.524941495","15451.470000000001","545.39","129.81","0.6339185325732609","12.07544789831782","1150.3300000000013","377.15","1695.7200000000012","7.6548502118665","2202.680000000001","1825.530000000001","1258.59","2542.0899999999992"
Adani Energy Solutions Ltd,ADANIENSOL,"Power Infrastructure","117713.68608958","17218.31","642.2800000000001","2766.51","0","10.195315642424534","1137.280000000001","1776.08","1779.5600000000013","0","6322.1500000000015","4546.0700000000015","951.7","4043.8199999999997"
Dabur India Ltd,DABUR,"FMCG - Personal Products","115980.05677263999","12886.42","516.06","124.18","0.5282910230615189","10.41092837074298","1842.6800000000012","399.21","2358.740000000001","5.5","2882.130000000001","2482.920000000001","1239.56","2114.92"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","115309.91155995","55143.979999999996","3001.9",,"0.14283013001974992","115.52184400951293","8977.289999999995","463.04","11979.189999999995","16.5","12442.229999999996","11979.189999999995","5373.93","34973.72"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","113704.1300224","10874.130000000001","695.73","353.56","0.5721194605102685","48.940827803737065","1656.3800000000024","808.27","2352.1100000000024","28","3513.9400000000023","2705.6700000000023","1984.4","714.7199999999996"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","113604.87758655","8774.66","287.86","16.71","0.13913213756035347","9.343635645905886","1427.0099999999998","94.89","1714.8699999999997","1.3","1826.4699999999998","1731.5799999999997","510.59","408.04"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","112967.5169418","30090.1","2086.2","1863.8","0","22.39829766703817","6036.199999999997","6059.9","8122.399999999997","0","16046.099999999997","9986.199999999997","782.3","1568.4"
United Spirits Ltd,UNITDSPR,"Alcoholic Beverages","111848.377420075","11577","449","76","0.46492597137784086","19.357920516524096","1408","275","1857","9","2208","1933","547","2755"
Indian Overseas Bank,IOB,"Public Banks","111297.403363328","29730.969999999998","756.92",,"0","1.4102221260960317","2665.6600000000008","336.37","3422.580000000001","0","3758.9500000000007","3422.580000000001","6143.28","18744.82"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","110280.755495322","6575.72","-0.8599999999999999","164.32","0","0.5062912581888471","660.3500000000003","189.6","659.4900000000002","0","1013.4100000000003","823.8100000000003","702.9","510.65999999999985"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","110214.162486","23179.739999999998","479.61","568.49","0","7.550526731133172","1574.299999999996","20.94","2053.909999999996",,"2643.3399999999965","2622.3999999999965","188.91","20274.300000000003"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","109403.24475006","28920.1","1623.1000000000001","171.1","0.11952388605030574","334.6611403110222","5577.899999999998","1470","7200.999999999998","40","8842.099999999999","7372.0999999999985","5030.1","1914.5999999999995"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","108668.23975005","19858","972.4","81.2","0.07844687636999612","38.242440474627","3859.4999999999995","764.1","4831.9","3","5677.2","4913.099999999999","3137.6","1333.3000000000009"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","108416.66564778","91712.46999999999","177.67000000000002",,"0.10153715675695066","5.909166842599494","850.6799999999726","113.23","1028.3499999999726","0.6","1141.5799999999726","1028.3499999999726","1641.21","2983.2899999999936"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","105859.63375546","20602.12","636.59",,"0.2820278010935116","39.00324704638868","1918.5899999999983","133.83","2555.1799999999985","11","2689.0099999999984","2555.1799999999985","1262.13","16650.98"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","104338.08","9623.43","484.03","27.4","0.6122121610154713","62.0699855699856","1720.5800000000006","159.18","2204.6100000000006","38","2391.1900000000005","2232.0100000000007","801.37","400.4699999999997"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","103692.21365373001","50511.049999999996","302.84999999999997","1294.23","0.033803604325729764","59.165288432798604","5938.419999999996","2821.75","6241.269999999997","2","10357.249999999996","7535.499999999996","1288.03","7561.610000000001"
Lupin Ltd,LUPIN,"Pharmaceuticals","101488.295040405","20141.5","507.79","311.61","0.19026790418285902","42.04597740411075","1914.4800000000005","1196.81","2422.2700000000004","8","3930.6900000000005","2733.8800000000006","3494.57","1771.2800000000007"
Bosch Ltd,BOSCHLTD,"Auto Parts","101351.6495596","18293.3","689.4","50.8","0.44394954441456275","844.6905841394957","2491.2999999999997","429.5","3180.7","375","3661","3231.5","1340.7","765.6999999999996"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","101165.44681863001","19167.4","463.9","449.4","0.2560154141998662","62.49623699418784","898.6000000000009","687","1362.500000000001","16","2498.900000000001","1811.900000000001","2493.7","2413.5000000000005"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","100267.02072","18260.32","575.26","108.34","0.2522379035783952","118.93533673727208","1784.0399999999993","245.04","2359.2999999999993","30","2712.6799999999994","2467.6399999999994","609.54","698.9200000000008"
Info Edge (India) Ltd,NAUKRI,"Online Services","100154.96074023","2950.08","302.83","35.37","0.4936555961404726","44.565482842697826","575.2000000000003","101.13","878.0300000000002","22","1014.5300000000002","913.4000000000002","1128.24","377.75999999999993"
GMR Airports Ltd,GMRINFRA,"Construction & Engineering","99307.16882856","9548.59","-75.60000000000002","2928.78","0","-0.9265657233779333","-559.2699999999994","1465.92","-634.8699999999994","0","3759.830000000001","2293.9100000000008","1242.16","3365.79"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","98861.33824632","5756.950000000001","457.67","5","0.8835706011407845","48.666173302373785","1323.6500000000008","171.51","1781.3200000000008","43","1957.8300000000008","1786.3200000000008","411.73","400.2399999999998"
Oracle Financial Services Software Ltd,OFSS,"Software Services","97656.61713395","6715.15","802.97","28.11","0.935776989762815","256.4713629695374","2219.3599999999988","74.26","3022.329999999999","240","3124.6999999999994","3050.439999999999","2982.83","164.78000000000003"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","97197.630326875","6114.34","325.35","109.37","0.09201314314595724","92.37810718536967","835.9299999999997","143.38","1161.2799999999997","8.5","1414.0299999999997","1270.6499999999996","400.45","548.4700000000004"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","96992.67194778","6951.67","406.46000000000004","220.22","0.19763424574288957","8.854740702563493","1259.0700000000002","454.3","1665.5300000000002","1.75","2340.05","1885.7500000000002","1805.21","1401.69"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","96783.1635645","34265.97000000001","2510.81","963.67","0.248202480039778","38.946956170589075","6335.1000000000095","2128.98","8845.910000000009","9.666731111540743","11938.560000000009","9809.580000000009","2798.34","6091.410000000001"
IDBI Bank Ltd,IDBI,"Private Bank","96524.314324975","30421.100000000002","2629.99",,"0.2786510817453049","5.383076177579827","5788.100000000002","543.31","8418.090000000002","1.5","8961.400000000001","8418.090000000002","4417.01","14357.54"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","95978.30969928","10630.84","486.46","35.05","0","47.75200202981395","1912.8900000000003","398.25","2399.3500000000004","0","2832.6500000000005","2434.4000000000005","2274.73","250.36999999999972"
Canara Bank Ltd,CANBK,"Public Banks","95650.0175367","139164.93","4720.99",,"0.19116655664669988","16.843950408914726","15278.559999999985","901.73","19999.549999999985","3.22","20901.279999999984","19999.549999999985","17112.27","97006.75"
NHPC Ltd,NHPC,"Renewable Energy","94815.083524395","11703.14","1419","608.02","0.5265826292068803","3.6081706737301826","3624.4199999999983","1184.13","5043.419999999998","1.9","6835.569999999999","5651.439999999999","1946.09","40.32999999999993"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","94680.08899975","3163.39","532.3299999999999",,"0.7691296635078164","91.01196237932983","1942.69","52.33","2475.02","70","2527.35","2475.02","354.06","56.97999999999993"
Union Bank of India Ltd,UNIONBANK,"Public Banks","93885.76939","118188.36000000002","7711.11",,"0.18875704155214978","19.072136172495544","13797.120000000017","895.93","21508.230000000018","3.6","22404.160000000018","21508.230000000018","14593.23","77535.06"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","93611.456043635","5882.2699999999995","307.68","59.89","0.13777149358477364","10.887593369066723","1057.64","244.98","1365.3200000000002","1.5","1670.1900000000003","1425.2100000000003","937.12","1336.8899999999996"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","92898.41817936","27564.05","749.37","943.4","0.4194710180391984","38.14327882481942","1833.230000000001","1377.5","2582.600000000001","16","4903.500000000001","3526.000000000001","863.33","1412.3699999999983"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","92379.14080815","24503.03","-39.56","827.64","0.3084529228084486","0.810496453474204","282.21999999999883","248.9","242.65999999999883","0.25","1319.199999999999","1070.2999999999988","5628.84","3972.9399999999996"
Shree Cement Ltd,SHREECEM,"Cement","90478.42893342","21119.1","563.5","258.34","0.158136600576032","663.9829085583261","2395.7000000000007","1897.32","2959.2000000000007","105","5114.860000000001","3217.540000000001","1064.43","1751.3199999999983"
Marico Ltd,MARICO,"FMCG - Personal Products","90023.46153019","11236","456","73","0.8281344926401079","11.471566616811028","1481","158","1937","9.5","2168","2010","743","1105"
