Name,Ticker,"Sub-Sector","Market Cap","Total Revenue","Taxes & Other Items","Interest & Other Items","Payout Ratio","Earnings Per Share","Net Income","Depreciation & Amortization","PBT","Dividend Per Share","EBITDA","PBIT","Employee Cost","Operating & Other expenses"
Mohit Industries Ltd,MOHITIND,"Textiles","39.343900925","132.9","-0.66","3.99","0","-1.3561644561303752","-1.9199999999999995","1.48","-2.5799999999999996",,"2.8900000000000006","1.4100000000000006","8.33","4.25"
Arman Holdings Ltd,ARMAN,"Diversified Financials","39.2402755","4.39","0.01","0","0","0.01919201612129315","0.009999999999999796","0","0.019999999999999796","0","0.019999999999999796","0.019999999999999796","0.06","1.57"
UTI Nifty Bank ETF,UTIBANKETF,"Equity","39.20116296",,,,,,,,,,,,,
Goenka Diamond And Jewels Ltd,GOENKA,"Precious Metals, Jewellery & Watches","38.991","0.66","0","0.56","0","-0.09","-2.85","0.5","-2.85","0","-1.79","-2.29",,"2.45"
Orient Tradelink Ltd,ORIENTTR,"Movies & TV Serials","38.97817","9.1","0.63","0.13","0","0.14278630405194345","0.16999999999999893","0.88","0.7999999999999989","0","1.809999999999999","0.9299999999999989","0.45","1.2300000000000006"
Genus Prime Infra Ltd,GENUSPRIME,"Real Estate","38.9580084","0.23","0","0","0","-1.34","-2","0","-2","0","-2","-2",,"2.23"
Challani Capital Ltd,CHALLANI,"Specialized Finance","38.805","1.19","0",,"0","0.3333333333333333","0.5","0","0.5","0","0.5","0.5","0.21","0.48"
Mukand Engineers Ltd,MUKANDENGG,"Construction & Engineering","38.660129999999995","23.03","0.03","10.42","0","-17.56","-22.09","0.56","-22.06","0","-11.079999999999998","-11.639999999999999",,"34.11"
Mirae Asset Nifty India Manufacturing ETF,MAKEINDIA,"Equity","38.618346536000004",,,,,,,,,,,,,
Megri Soft Ltd,MEGRISOFT,"IT Services & Consulting","38.567796","3.44","0.23","0.01","0","2.165122424937116","0.68","0.1","0.91","0","1.02","0.92","0.81","0.10000000000000009"
Jetking Infotrain Ltd,JETKINGQ,"Education Services","38.552345","23.75","0","0.21","0","-0.8463817181548924","-0.5000000000000027","2.24","-0.5000000000000027","0","1.9499999999999975","-0.2900000000000027","11.71","2.8099999999999987"
Kallam Textiles Ltd,KALLAM,"Textiles","38.55171026","368.46999999999997","-18.67","35.44","0","-7.09138448479302","-37.44999999999998","15.99","-56.11999999999998","0","-4.6899999999999835","-20.679999999999986","21.43","50.32999999999996"
Sugal and Damani Share Brokers Ltd,SUGALDAM,"Investment Banking & Brokerage","38.518793141","6.39","0.68",,"0","3.6959999999999935","2.309999999999996","0.03","2.989999999999996",,"3.019999999999996","2.989999999999996","1.01","2.360000000000004"
Mirae Asset Nifty Midcap 150 ETF,MIDCAPETF,"Equity","38.500961536",,,,,,,,,,,,,
Prakash Woollen & Synthetic Mills Ltd,PWASML,"Textiles","38.453543","102.14","-0.77","4.59","0","0.91620166183386","0.9399999999999946","5.75","0.1699999999999946","0","10.509999999999994","4.7599999999999945","7.87","-11.17"
Shanthala FMCG Products Ltd,SHANTHALA,"FMCG - Personal Products","38.312926080000004","41.87","0.08","0.23","0","0.5795441119066002","0.30999999999999855","0.03","0.38999999999999857",,"0.6499999999999986","0.6199999999999986","0.32","40.129999999999995"
Jaihind Synthetics Ltd,JAIHINDS,"Textiles","38.28748927","0.2","0.01","0","0","0.02340112404959261","0.02000000000000001","0","0.030000000000000013",,"0.030000000000000013","0.030000000000000013","0.05","0.12000000000000001"
Raw Edge Industrial Solutions Ltd,RAWEDGE,"Mining - Diversified","38.2621536","45","-0.17","2.23","0","-0.5865977331477465","-0.5900000000000035","1.7","-0.7600000000000036","0","3.1699999999999964","1.4699999999999964","2.5","9.530000000000003"
Hybrid Financial Services Ltd,HYBRIDFIN,,"38.178848675","5.1899999999999995","0.21",,"0","0.6590507800324599","1.9399999999999995","0.1","2.1499999999999995","0","2.2499999999999996","2.1499999999999995","1.7","0.18999999999999995"
Tijaria Polypipes Ltd,TIJARIA,"Building Products - Pipes","38.101976649","0.33999999999999997","0","0.02","0","-1.020031069727193","-2.92","2.76","-2.92",,"-0.14000000000000012","-2.9","0.02","0.07000000000000008"
Accedere Ltd,ACCEDERE,"IT Consulting & Other Services","38.100573","2.71","-3.469446951953614e-18","0.01","0","-0.1782650355415908","-0.0799999999999997","0.21","-0.0799999999999997","0","0.1400000000000003","-0.0699999999999997","0.95","0.14999999999999997"
DocMode Health Technologies Ltd,DHTL,"Education Services","38.02788","40.15","0.15000000000000002","1.66","0","0.6990691342580525","0.18999999999999606","0.02","0.3399999999999961",,"2.019999999999996","1.999999999999996","4.95","6.789999999999996"
Silver Oak (India) Ltd,SILVOAK,"Alcoholic Beverages","37.920951","1.64","0.33999999999999997","0.75","0","-3.0605245105799166","-1.1600000000000001","0.22","-0.8200000000000001",,"0.1499999999999999","-0.07000000000000009","0.47","0.53"
Tarini International Ltd,TARINI,"Renewable Energy","37.668204","2.65","-1.33","0.08","0","0.03","0.06000000000000005","0.33","-1.27","0","-0.8599999999999999","-1.19",,"3.51"
Sj Corporation Ltd,SJCORP,"Apparel, Accessories & Luxury Goods","37.5975","15.57","0.01","0","0","-1.3848720029641297e-15","-1.1570605584765303e-15","0.09","0.009999999999998843","0","0.09999999999999884","0.009999999999998843","0.32","-0.09999999999999926"
Veer Energy & Infrastructure Ltd,VEERENRGY,"Renewable Electricity","37.55696685","11.69","-0.03","0","0","0.2138617858060606","0.32000000000000073","0.76","0.2900000000000007",,"1.0500000000000007","0.2900000000000007","0.39","5.89"
Medinova Diagnostic Services Ltd,MEDINOV,"Hospitals & Diagnostic Centres","37.36127852","10.37","0.28","0.62","0","2.0036787541926966","1.999999999999999","0.13","2.279999999999999","0","3.029999999999999","2.899999999999999","1.9","2.6700000000000004"
Axis Nifty 50 ETF,AXISNIFTY,"Equity","37.35465305",,,,,,,,,,,,,
Hindustan Fluoro Carbons Ltd,HINFLUR,"Commodity Chemicals","37.2774882","2.08","0","0","0","0.6265919510952626","1.2300000000000004","0","1.2300000000000004",,"1.2300000000000004","1.2300000000000004","0","0.10999999999999999"
Bombay Wire Ropes Ltd,BOMBWIR,"Iron & Steel","37.2323335","0.12","-0.15","0","0","-0.5805787058713363","-0.31000000000000005","0.02","-0.4600000000000001","0","-0.44000000000000006","-0.4600000000000001","0.42","0.04000000000000005"
Ashiana Ispat Ltd,ASHIS,"Iron & Steel","37.1318976","324.47","0.53","9.02","0","1.85","1.470000000000055","1.92","2.000000000000055","0","12.940000000000055","11.020000000000055",,"311.53"
Benchmark Computer Solutions Ltd,BENCHMARK,"IT Consulting & Other Services","37.0656","35.239999999999995","0.8","0.54","0","3.739262253663457","2.2199999999999944","1.12","3.0199999999999942",,"4.679999999999994","3.5599999999999943","4.11","-0.06999999999999995"
Sai Swami Metals and Alloys Ltd,SAI,"Trading Companies & Distributors","36.9929989","40.73","0.73","0.46","0","10.370729343348698","2.1400000000000037","0.09","2.8700000000000037",,"3.4200000000000035","3.3300000000000036","0.45","-3.6200000000000037"
Padam Cotton Yarns Ltd,PADAMCO,"Textiles","36.98715","3.95","0.33999999999999997",,"0","4.286083139684999","1.6600000000000001","0","2","0","2","2","0.09","1.86"
California Software Company Ltd,CALSOFT,"IT Services & Consulting","36.973397552","4.28","0.23","0","0","0.4011100137373712","0.6200000000000003","0.72","0.8500000000000003","0","1.5700000000000003","0.8500000000000003","1.83","0.4099999999999999"
Netlink Solutions (India) Ltd,NETLINK,"IT Services & Consulting","36.926685","12.510000000000002","1.7200000000000002","0","0","36.33524103233204","9.190000000000001","0.18","10.910000000000002",,"11.090000000000002","10.910000000000002","0.56","0.18999999999999984"
Pro Fin Capital Services Ltd,PROFINC,"Investment Banking & Brokerage","36.889218","22.32","0.13",,"0","-0.031731370790930115","-0.3699999999999997","0.31","-0.2399999999999997",,"0.07000000000000028","-0.2399999999999997","0.4","21.85"
Concord Drugs Ltd,CONCORD,"Pharmaceuticals","36.87","44.92999999999999","0.16","1.87","0","0.46594776104333807","0.4499999999999883","1.56","0.6099999999999883",,"4.0399999999999885","2.4799999999999884","5","2.7300000000000026"
Virtual Global Education Ltd,VIRTUALG,"Education Services","36.858741726","0.67","0.01","0","0","-0.0431946378374859","-1.83","0.06","-1.82","0","-1.76","-1.82","0.2","1.83"
Sanwaria Consumer Ltd,SANWARIA,"FMCG - Foods","36.805","1.07","-0.66","0","0","0.08","-5.79","5.7","-6.45","0","-0.75","-6.45",,"1.82"
Kandarp Digi Smart Bpo Ltd,KANDARP,"Outsourced services","36.7893","16.540000000000003","0.55","0.49","0","1.1255990192800662","1.0100000000000033","0.8","1.5600000000000034",,"2.850000000000003","2.0500000000000034","1.24","0.28999999999999915"
Invigorated Business Consulting Ltd,INVIGO,,"36.7885","0.26","0",,"0","-0.05227456593440787","-0.21000000000000002","0","-0.21000000000000002","0","-0.21000000000000002","-0.21000000000000002","0.08","0.39"
Nippon India Nifty Auto ETF,AUTOBEES,"Equity","36.765885389",,,,,,,,,,,,,
MRC Agrotech Ltd,MRCAGRO,"Commodities Trading","36.7543956","16.36","0.26","0.02","0","0.8636490130410999","0.8999999999999997","0","1.1599999999999997",,"1.1799999999999997","1.1799999999999997","0.1","0.4199999999999996"
Onesource Ideas Venture Ltd,OIVL,"Investment Banking & Brokerage","36.62325","8.34","0",,"0","0.13008130081301114","0.040000000000000924","0","0.040000000000000924",,"0.040000000000000924","0.040000000000000924","0.11","8.19"
Zenith Fibres Ltd,ZENIFIB,"Textiles","36.597637944","37.19","0.42","0.05","0","3.346855983772819","1.3199999999999996","0.81","1.7399999999999995",,"2.5999999999999996","1.7899999999999996","4.99","3.759999999999998"
Kapil Cotex Ltd,KAPILCO,"Textiles","36.586075","2","0.34","0","0","3.67","1.53","0","1.87","0","1.87","1.87",,"0.13"
PlatinumOne Business Services Ltd,POBS,"Data Processing & Outsourced Services","36.55344","26.84","0.49","0.04","0","9.226491405460067","1.4600000000000009","0.72","1.9500000000000008",,"2.710000000000001","1.9900000000000009","15.88","0.7199999999999989"
Polymechplast Machines Ltd,POLYCHMP,"Industrial Machinery & Supplies & Components","36.53435262","59.699999999999996","0.42000000000000004","0.46","0","1.2496184200895777","0.6999999999999987","0.94","1.1199999999999988",,"2.5199999999999987","1.5799999999999987","5.71","5.129999999999995"
Sadhna Broadcast Ltd,SADHNA,"TV Channels & Broadcasters","36.496616519999996","15.56","0.14","0.01","0","0.339099927063597","0.3400000000000019","0.42","0.4800000000000019",,"0.9100000000000019","0.49000000000000193","0.77","11.76"
SP Refractories Ltd,SPRL,"Cement","36.487905","28.84","0.6100000000000001","0.43","0","8.66163732886283","1.5500000000000032","0.33","2.1600000000000033","0","2.9200000000000035","2.5900000000000034","2.1","3.459999999999999"
National General Industries Ltd,NATGENI,"Iron & Steel","36.444406810000004","16.93","0.2","0.14","0","6.414985405908199","2.9999999999999987","0.33","3.199999999999999",,"3.669999999999999","3.339999999999999","1.84","4.830000000000001"
Sabar Flex India Ltd,SABAR,"Packaging","36.39793677","126.38","1.67","2.64","0","2.64","4.3399999999999945","1.12","6.0099999999999945","0","9.769999999999996","8.649999999999995",,"116.61"
DECO MICA Ltd,DECOMIC,"Building Products - Laminates","36.372","77.78","1.23","2.28","0","5.499999999999993","2.309999999999997","1.27","3.539999999999997",,"7.089999999999996","5.819999999999997","7.99","1.5200000000000045"
Informed Technologies India Ltd,INFORTEC,"Data Processing & Outsourced Services","36.3337065","6.390000000000001","-0.21","0.06","0","6.6681058261975","2.78","0.37","2.57",,"3","2.63","1.45","1.12"
Hiliks Technologies Ltd,HILIKS,,"36.258","1.0199999999999998","0.060000000000000005","0.01","0","0.054156512320606746","0.030000000000000103","0.02","0.09000000000000011",,"0.1200000000000001","0.1000000000000001","0.21","-1.7900000000000005"
Valson Industries Ltd,VALSONQ,"Textiles","36.1130112","125.12","-0.52","1.41","0","1.2661862990810429","0.9700000000000053","2.56","0.4500000000000053","0","4.420000000000005","1.8600000000000052","14.24","9.469999999999999"
Tejassvi Aaharam Ltd,TEJASSVI,,"36.099","0","0","0.42","0","-1.2","-0.8399999999999999","0","-0.8399999999999999",,"-0.41999999999999993","-0.41999999999999993","0.25","0.06999999999999998"
Manbro Industries Ltd,MANBRO,"Distributors","36.0756","24.01","0.04","0","0","4.7899411236403795","0.24000000000000118","0","0.2800000000000012",,"0.2800000000000012","0.2800000000000012","0.2","0.030000000000000415"
Gabriel Pet Straps Ltd,GPSL,"Paper & Plastic Packaging Products & Materials","35.997024","10.73","0.23","0.02","0","2.46","0.6500000000000001","0.01","0.8800000000000001","0","0.9100000000000001","0.9000000000000001",,"9.82"
Infomedia Press Ltd,INFOMEDIA,"Publishing","35.989221324","0.02","0","2.82","0","-0.7710058450610561","-3.87","0","-3.87","0","-1.05","-1.05","0","1.07"
Antarctica Ltd,ANTGRAPHIC,"Packaging","35.9622272","0.88","0","0","0","-0.03","-0.41999999999999993","0.12","-0.41999999999999993","0","-0.29999999999999993","-0.41999999999999993",,"1.18"
Polysil Irrigation Systems Ltd,POLYSIL,"Water Management","35.89454985","44.57","0.95","1.92","0","2.06","2.080000000000002","0.72","3.030000000000002","0","5.670000000000002","4.950000000000002",,"38.9"
