Name,Ticker,"Sub-Sector","Market Cap","1Y Historical Revenue Growth","5Y Historical Revenue Growth","1Y Historical EBITDA Growth","5Y Historical EBITDA Growth","1Y Historical EPS Growth","5Y Historical EPS Growth"
Omni AX's Software Ltd,OMNIAX,"Software Services","6.095440686","0","-3.0359733904420927","33.33333333333333",,"33.33333333333333",
Kinetic Trust Ltd,KINETRU,"Investment Banking & Brokerage","6.09168","9.090909090909083","21.67286837864115","207.6923076923078","22.865967908314722","190.72000000000008","17.795475617855526"
Ortel Communications Ltd,ORTEL,"Cable & D2H","6.088838955","-20.855255793126602",,"142.11737629459142",,"37.005163511187604",
Beeyu Overseas Ltd,BEEYU,"Tea & Coffee","6.080824789999999","0","21.67286837864115","-474.99999999999983",,"-949.9999999999994",
Sturdy Industries Ltd,STURDY,"Agricultural & Farm Machinery","6.05014776","-93.15789473684211","-71.15989090941737","-162.7071823204421",,"74.91052469194311",
Aadi Industries Ltd,AADIIND,"Stationery","6.05","100","-14.327472495069049","49.999999999999986",,"47.058823529411754",
Cindrella Financial Services Ltd,CINDRELL,"Diversified Financials","6.032","-69.44444444444444","32.76536402307333","-73.91304347826086","64.37518295172259","-76.92307692307692","24.57309396155174"
Hit Kit Global Solutions Ltd,HITKITGLO,"FMCG - Foods","5.9856","-22.64150943396227","5.081623913789235",,,,
MPAgro Industries Ltd,MPAGI,"Fertilizers & Agro Chemicals","5.91999228","216","18.36672588284154","200.0000000000004","-7.789208851827212","150.0000000000004","-3.580749599737265"
Futuristic Securities Ltd,FUTURSEC,"Investment Banking & Brokerage","5.91045","57.14285714285714","0","-350.0000000000001",,"-600.0000000000001",
Explicit Finance Ltd,EXPLICITFIN,"Investment Banking & Brokerage","5.8941936","-58.854394403148234","15.140294014974742","49.999999999973355",,"49.999999999973376",
Athena Constructions Ltd,ATHCON,"Real Estate","5.8875","36.36363636363635","17.143034329661333","-36.36363636363636","8.063961960040022","-924.9999999999994",
Epsom Properties Ltd,EPSOMPRO,"Real Estate","5.8728064",,,"-11.1111111111111",,"-18.749999999999986",
Sunraj Diamond Exports Ltd,SUNRAJDI,"Precious Metals, Jewellery & Watches","5.8687704","41.42857142857144","-0.3992143465033626","-62.16216216216265",,"-150.00000000000074",
Aditya Ispat Ltd,ADITYA,"Iron & Steel","5.84755","17.268475210477096","9.569474252555787","-60.43478260869558","-4.067740418734644","-873.3333333333434",
Svam Software Ltd,SVAMSOF,"Software Services","5.826705","-79.14893617021276","-18.346940475859874","138.46153846153865","-20.75534037694431","160.00000000000028","-3.9339431627563037"
Khandelwal Extractions Ltd,ZKHANDEN,"Packaged Foods & Meats","5.823185","16.091954022988485","-29.030507028101482","41.025641025640965",,"92.15867603001651",
Indra Industries Ltd,INDRAIND,,"5.82288593","-66.56626506024097","-38.96058866476571","-129.24528301886792",,"117.34693877551022",
I Power Solutions India Ltd,IPOWER,"IT Services & Consulting","5.819292",,,"16.666666666666668",,"30.43478260869565",
Sungold Capital Ltd,SUNGOLD,"Diversified Financials","5.8155012600000004","26.66666666666666","4.2683794442716305","49.99999999999889","8.4471771197697","99.9999999999977","14.869835499703242"
Mahalaxmi Seamless Ltd,MAHALXSE,"Iron & Steel","5.7989772","-2.083333333333337","-1.0311481931439381","-185.86956521739128",,"-417.9487179487177",
Padmalaya Telefilms Ltd,PADMALAYAT,"Movies & TV Serials","5.797","-38.095238095238095","-34.99525396056677","-74.99999999999999",,"-75.02471286010166",
Ashiana Agro Industries Ltd,ASHAI,"Investment Banking & Brokerage","5.7914","13.725490196078427","2.4057052682322944","749.9999999999991",,"699.9999999999991",
Jyothi Infraventures Ltd,JYOTHI,"Diversified Financials","5.768959940999999",,,,,,
Classic Leasing & Finance Ltd,CLFL,"Diversified Financials","5.7633842","90.90909090909089","41.77170842062103","899.9999999999989","46.144255162192536","266.0243999999999","43.57266353150639"
Pankaj Polymers Ltd,PANKAJPO,"Packaging","5.7490243","-11.986301369863007","21.515667765145707","-55.7692307692307",,"-379.999999999999",
Motilal Oswal S&P BSE Quality ETF,MOQUALITY,"Equity","5.722810688",,,,,,
Motilal Oswal S&P BSE Healthcare ETF,MOHEALTH,"Equity","5.7107817",,,,,,
Olympic Cards Ltd,OLPCL,"Commercial Printing","5.708045","2.466907340553548","-15.43555805487169","132.4786324786322","-10.323383850060196","97.69216509433961",
B J Duplex Boards Ltd,BJDUP,"Paper Products","5.707203",,"-2.08516376390232","-1700",,"-1321.7405",
Jayatma Enterprises Ltd,JAYATMA,"Business Support Services","5.7","104.9382716049383","16.606691326397115","90.24390243902438","18.065534379958457","41.66666666666666","12.741141818969503"
Manor Estates and Industries Ltd,KARANWO,"Textiles","5.690385","33.33333333333335",,"6.666666666666673",,"6.666666666666668",
Unitech International Ltd,UNITINT,"Commodities Trading","5.6866941","-78.19354838709678","-48.95156681911369","-260.44880785413744",,"-132.7038626609442",
Typhoon Financial Services Ltd,TFSL,"Diversified Financials","5.686137","3.8461538461538547","-13.575843915760554","-100.00000000000001",,"-100",
Nutricircle Ltd,NUTRICIRCLE,"Paper Products","5.680202","42.99999999999999","64.14624726773648","-261.76470588235316",,"-264.70588235294133",
Fabino Enterprises Ltd,FABINO,"Pharmaceuticals","5.6763","532.8402366863904",,"159.99999999999605",,"299.9999999999826",
United Leasing & Industries Ltd,UNTTEMI,"Textiles","5.67","-30.563514804202473","19.768463752090938","-27.407407407407305","7.5829459940464305","-76.19047619047599","37.9729661461206"
HDFC Nifty100 Low Volatility 30 ETF,HDFCLOWVOL,"Equity","5.647267751999999",,,,,,
Shamrock Industrial Company Ltd,SHAMROIN,"Pharmaceuticals","5.59126642",,"-55.703787481990915","69.23076923076923",,"69.23076923076923",
Svarnim Trade Udyog Ltd,SNIM,"Textiles","5.577861",,,"90.3225806451613",,"94.67741935483872",
Union Quality Plastics Ltd,UNQTYMI,"Plastic Products","5.576063","-22.22222222222229","-73.86411385763805","93.22033898305085",,"89.94708994708994",
Pradip Overseas Ltd,PRADIP,"Textiles","5.570621045","-37.842820926480755","-36.16094846402429","-2429.9373040752366",,"-464.41441441441447",
Prashant India Ltd,PRSNTIN,"Textiles","5.565372102","-58.65384615384615","-32.3731787206885","-86.66666666666661",,"-50.005272916666655",
Amerise Biosciences Ltd,AMERISE,"Agricultural Products & Services","5.549796","300","-49.179890461085954","-16.66666666666666",,"-16.66666666666665",
First Fintec Ltd,FIRSTFIN,"Application Software","5.544668415","-59.86277873070327","-19.6800252118391","177.41935483870938","-9.415087800810706","87.2727272727273",
Penta Gold Ltd,PENTAGOLD,"Precious Metals, Jewellery & Watches","5.535375","-99.684907722976",,"-141.3306451612904",,"-16362.550000003073",
Bansisons Tea Industries Ltd,BANSTEA,"Tea & Coffee","5.52609",,,"-333.33333333333337",,"-900.0000000000002",
Mahasagar Travels Ltd,MHSGRMS,"Tour & Travel Services","5.5123135","-20.430107526881702","-9.70707362880512","-19.572953736654398","-5.060232515753715","88.88888888889882",
Siddheswari Garments Ltd,SIDDHEGA,"Investment Banking & Brokerage","5.5109835","-3.3333333333333326","-12.015319425868487","50.00000000000014","-15.587912015589023","268.3999999999993","-3.3810266869872208"
Omnipotent Industries Ltd,OMNIPOTENT,"Trading Companies & Distributors","5.5055","335.3459119496855","2.240752477981234","217.64705882352905","122.06430349229382","633.3333333333289",
Patidar Buildcon Ltd,PATIDAR,"Real Estate","5.50057","-37.71929824561404","-21.553767719378158","299.9999999999984","26.191468896038806","-549.7779962331572",
Jainco Projects (India) Ltd,JAINCO,"Consumer Finance","5.5","-31.25000000000001","-18.715788300989146","-70.58823529411768","-20.755340376944343","-400",
Corporate Merchant Bankers Ltd,CMBL,"Investment Banking & Brokerage","5.4879","25","-8.971789848695988",,,,
Dharani Finance Ltd,DHARFIN,"Diversified Financials","5.443896","31.666666666666686","-6.575491335032058","-624.9999999999994",,"-158.33333333333337",
Innocorp Ltd,INNOCORP,"Plastic Products","5.4239762","-99.85569985569985","-63.76101681611522","-103.44827586206897",,"-106.7357512953368",
Jetmall Spices and Masala Ltd,JETMALL,"Food Distributors","5.4235745","-62.278481012658226","-49.06230395971616","-74.41860465116278","-37.018363467847514","-86.01656666666666","-32.88019982723283"
Diamant Infrastructure Ltd,DIAMANT,"Construction & Engineering","5.421416","-79.38144329896907","-12.944943670387588",,,"-29.999999999999996",
Kotak Nifty MNC ETF,MNC,"Equity","5.40821454",,,,,,
Priya Ltd,PRIYALT,"Technology Distributors","5.40414","-20.000000000000007","-56.58866684335679","-15.151515151515149",,"-1.507537688442218",
Konndor Industries Ltd,KONNDOR,"Trading Companies & Distributors","5.380245","19.601040763226372","-23.273329845738388","250.00000000000162","53.05793764919411","140.7407407407417","52.04238514775883"
Scintilla Commercial & Credit Ltd,SCC,,"5.374888472","11.111111111111093","0.33670795833371514","-22299.999999999975",,"-22060.831629999982",
KLG Capital Services Ltd,KLGCAP,"Diversified Financials","5.3704248","-14.28571428571429","-5.979775436609458","57.142857142857146",,"57.142857142857146",
