Name,Ticker,"Sub-Sector","Market Cap","Return on Equity","Return on Assets","Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","5Y Avg Net Profit Margin","5Y Avg EBITDA Margin","EBITDA Margin","5Y Avg Return on Investment","Return on Investment","5Y Avg Cash Flow Margin","Cash Flow Margin","ROCE"
CreditAccess Grameen Ltd,CREDITACC,"Consumer Finance","19778.55210464","24.765542371937865","5.703386658241336","27.95337012943075","13.658668662992502","3.277317711028691","17.80957854876657","25.515097394251278","38.47795617333474","2.923042268056732","5.089333388241661","-86.67025438437854","-91.51556745575286","6.825457331828279"
Garden Reach Shipbuilders & Engineers Ltd,GRSE,"Shipbuilding","19669.72392","23.144147237356073","3.3950620216992755","9.17872906743125","17.174995935391173","2.8848621990853482","9.75041959888814","15.176053701923399","13.74265850688288","16.055755158289834","21.270074923380317","18.49034001849878","-18.16142806492886","27.488513268914776"
Aadhar Housing Finance Ltd,AADHARHFC,"Consumer Finance","19662.690420835","18.401921592260603","4.198454898701438","28.97741768394034","14.973256280712178","3.0485185469338782","23.31964483344415","30.395310355948943","37.90404255154659","2.981936294695711","4.072056784126778","-88.88581543453088","-93.88708068867948","5.2120103437431595"
Century Plyboards (India) Ltd,CENTURYPLY,"Wood Products","19614.54242215","15.881736100804567","10.413884754242444","8.305172729678546","18.103463781833344","12.165358669124123","8.826171983207654","15.474746760323978","14.3703051523726","15.142681569073057","11.996453555344331","12.34769453824731","6.404331982981495","19.046364701066995"
NCC Ltd,NCC,"Construction & Engineering","19607.648943239998","10.689205510274956","4.102689328470293","3.388079532078981","8.155331839815405","3.160773458074462","3.710335535429955","11.165291747883794","8.903332778736264","13.446883660162209","16.7538084421001","9.330774034679532","6.480919556888072","23.722300389435063"
Cello World Ltd,CELLO,"FMCG - Household Products","19426.8387403","34.73416393442625","18.828092565104395","16.345978186270884",,,,,"26.38088607782436",,"19.166709755999477","0","11.41443616595814","33.719805398840585"
Tbo Tek Ltd,TBOTEK,"Tour & Travel Services","19300.936200314998","45.83725439063934","5.4536036303398845","14.271593781329868","26.5952516245325","4.131337875106021","5.4130330216882765","12.284653896413428","19.921207585534955","19.43431947437322","29.29189947832534","20.81199081470792","15.991471215351813","30.797736491561928"
Nava Limited,NAVA,"Iron & Steel","19098.14597356","16.28278088176196","12.087789414727606","30.84961894493305","12.527845122533146","7.468363993707236","20.964954953933386","45.72005459585792","48.44323716287739","12.090509285386624","17.524956407147506","34.166558421472104","77.94301489098854","18.402375160521405"
Eris Lifesciences Ltd,ERIS,"Pharmaceuticals","19011.260648710002","14.403853962456216","7.722541712718619","18.844286332387878","21.00034198515435","16.576508885354656","25.328753022699082","34.69437809369633","33.587327532330185","17.46437358003568","7.941965252444494","24.657004792990342","23.3647420797077","12.25803539827214"
Jubilant Pharmova Ltd,JUBLPHARMA,"Pharmaceuticals","18981.50284419","1.4260744111200523","0.6925077132425266","1.1345409597245326","8.385878552077454","4.018573377046127","6.880648153727861","19.531823316711673","12.135615168415322","7.1680213258938394","3.8458575029443822","18.20846169198583","14.292861662521888","4.686358970017042"
R R Kabel Ltd,RRKABEL,"Cables","18847.100002885","18.356628286435523","10.835338329468692","4.477569349533655",,,"4.496874704752274","8.175741944569262","7.8946577955333845","12.786570033094476","16.093288066200863","4.274949993385007","5.0912395055795026","23.877994738289544"
Bombay Burmah Trading Corporation Ltd,BBTC,"Tea & Coffee","18799.6895955","10.981959618942499","4.953098590479038","3.9094130710949915","-0.20167656275604315","0.6900195323792253","0.4812210891230634","14.558257442597707","18.30348574718737","3.4442479639541284","11.898477641206279","11.813814043874494","11.640844201540894","37.56192693628461"
Chalet Hotels Ltd,CHALET,"Hotels, Resorts & Cruise Lines","18737.504577715","14.722757394194739","5.182194682549589","19.356454935144466","3.7057613322625587","1.2825990179429727","-3.255507450601762","29.856447450668657","42.05728441797027","5.326877487886407","9.777885775711175","28.562288855412838","47.97639592495686","12.145925207727352"
IFCI Ltd,IFCI,"Specialized Finance","18697.630378854003","1.4447855646895242","0.5781407573337141","4.893975664688301","-15.249791142161726","-4.1884607753780525","-44.490198047266695","-28.53856020240868","39.27315136148373","-5.844169884656727","0.7944787368669558","-6.789895722835778","0.5604581875528233","5.664983749234238"
Finolex Industries Ltd,FINPIPE,"Building Products - Pipes","18648.3473748","8.988796033913692","7.098746001624839","10.441617426580835","17.55928710664002","12.890222017510496","13.655650402064316","20.644548418443016","17.704824058558962","15.26945379648904","8.460872363649644","11.349840245877783","7.789487609136608","11.537841432774867"
Mahanagar Gas Ltd,MGL,"Gas Distribution","18602.81893074","27.53963878726943","19.030983479453695","19.742860369034975",,,,,"31.226285659484894",,"24.441584826420353","0","24.25162065717242","30.535896267013523"
Kirloskar Oil Engines Ltd,KIRLOSENG,"Industrial Machinery","18534.52247466","17.803411847184076","5.897284982723351","7.4498630136986375","12.613546963251897","5.676811738584216","5.921021553335001","13.155659247866534","17.572518440463654","9.437274624339205","11.321487009178043","-11.18343039137992","-7.903561643835616","19.56147820524227"
Swan Energy Ltd,SWANENERGY,"Textiles","18468.87972312","5.122191201144987","2.690092276524976","5.905016989962877","-2.3118063871231334","-0.46043686514351884","-10.21263957613672","17.997017441813156","18.638959857413717","1.972032377245672","4.59729039995537","11.22814043972508","0.5072479397341605","7.705955691953578"
Ramkrishna Forgings Ltd,RKFORGE,"Rail","18454.305447079998","17.046441730655953","7.551146560980553","8.570460364476135","12.276268532540367","4.422673552842056","5.450441173480981","20.270089358891244","21.85124755258799","9.437463455089688","12.731067382230181","14.463048730420105","15.58963803403785","16.325171724058958"
Bata India Ltd,BATAINDIA,"Footwear","18403.8584526","17.70665407574785","7.9291149028456065","7.414845508752003","11.30726181905916","5.701861236376608","5.291287084010618","22.054357388548055","23.04276719966782","10.42061801283422","13.4731535479755","16.732724462906805","12.798524431338324","18.23324447028314"
Techno Electric & Engineering Company Ltd,TECHNOE,"Construction & Engineering","18331.72035175","13.116660396441135","9.60526668873048","16.38459801402513","12.451346212387955","9.01902109375392","19.207799133752992","26.609033828290087","20.966865833786006","12.444057238168932","13.19699337099326","8.909485733139299","-12.098944760114493","14.883485848052791"
Schneider Electric Infrastructure Ltd,SCHNEIDER,"Heavy Electrical Equipments","18328.519802925","44.346200940903586","11.712361876102113","7.763156707190508","17.747115531270126","4.237122537198163","2.842489071127069","7.721649579084662","13.579996209352078","16.157454347372326","28.578884934756843","4.443820101495301","8.660727984909611","33.31700615255961"
Trident Ltd,TRIDENT,"Textiles","18196.32248928","8.212579683310985","4.8572036059372685","5.090042727699032","12.669227653047951","7.208341282430753","7.549433578102099","17.535165784706585","14.536737957167455","10.135661789714757","7.851119105336515","15.228434099623492","4.183935899713693","10.808199771280325"
Sonata Software Ltd,SONATSOFTW,"IT Services & Consulting","18123.93049566","22.793264719572612","6.551590857929217","3.5303097403362718","33.50061590839623","13.526582419021025","5.842532515532492","9.52992595604447","7.762332911069375","27.355297788917785","18.119488891446963","6.967062502514714","3.2103503875330293","27.77218664226895"
Kfin Technologies Ltd,KFINTECH,"Business Support Services","17941.25555485","24.46785765782788","18.439413356115626","28.53812428959151","11.794300695576963","8.829813756563777","13.162009101088026","42.84221012155929","45.10775012178431","14.364170184636738","21.397890135754217","33.46799611117396","33.5486789301538","25.77088624105205"
Indiamart Intermesh Ltd,INDIAMART,"Online Services","17910.63031086","17.601808881545132","9.692558184081982","23.72903033274358","29.309689857018384","12.006811165311197","28.056265929506406","41.13169025469735","35.50970235684493","21.76532079803701","19.29715948423842","41.30095473287347","39.7309914096306","19.457475357924313"
Welspun Corp Ltd,WELCORP,"Iron & Steel","17877.13544587","20.923427115661077","8.198757855696979","6.222854869170971","15.259245855522147","6.55738614079701","6.104607383720772","13.373246918933557","11.576673260890269","13.31525887451319","18.414325579458115","4.969942326668797","7.318971749449392","21.921153978669146"
Manappuram Finance Ltd,MANAPPURAM,"Consumer Finance","17791.211568851002","20.60697987310178","5.0751025627796675","24.5366358411182","21.700878451402275","4.954579147502755","24.374442060485453","35.934570925579095","35.941005079545164","4.666752152837255","4.768711947304481","-33.144752455006696","-37.922038903194924","6.567784761865873"
Great Eastern Shipping Company Ltd,GESHIP,"Oil & Gas - Storage & Transportation","17635.313562525","23.06004416744109","16.329959915020098","44.16814503184822","14.973741708007505","9.29899379821072","26.822243876098803","51.24023134169643","62.262827985875276","12.399923698003965","18.63865464610006","42.536103405233206","47.4436954060858","19.338660525168663"
IDFC Ltd,IDFC,"Diversified Financials","17619.028609232002","41.35571121193694","40.708171725024705","96.6438362495263","3.941635788515655","4.1293141601691445","-37.68867130772547","-20.332479811692394","97.38235865014003","2.653891758484852","36.594091677301414","81.41169053617034","87.85257351532874","9.056040985262328"
Waaree Renewable Technologies Ltd,WAAREERTL,"Construction & Engineering","17557.5922093","93.4485695360061","29.724984197377278","16.83505892782053","39.916523909059514","10.918765367903417","-4.176861559758761","31.223501816012792","23.93935605587063","25.768003791660107","56.69631419054943","146.58567547675608","14.410892270624734","72.77434915230194"
Birlasoft Ltd,BSOFT,"IT Services & Consulting","17426.53403952","22.713849268628394","17.53906974913256","11.590661617419157","16.712435193940927","12.423596685581755","9.045101744339245","14.789496007757204","17.46189837336435","15.626638973508728","20.517895904453173","11.315687952208357","13.345882125589503","26.87894083054232"
Capri Global Capital Ltd,CGCL,"Consumer Finance","17389.734609760002","7.5495403969716515","2.073465123026885","12.073718779707896","9.63570286285168","2.909108732825443","18.666849055243137","27.08444651933209","19.59726903465561","2.750417773949633","1.9616694796496374","-103.11057274395179","-159.88548958603403","2.6374062319676876"
Gravita India Ltd,GRAVITA,"Metals - Lead","17388.78987055","32.940155756161005","17.042333301270727","7.385689936267962","30.009751609446436","12.978969470216246","5.353351316800042","9.449141394604009","11.236475470579508","19.4229097201526","20.80949247582535","3.310425789826278","1.3092238525764537","29.317944658342594"
Tata Teleservices (Maharashtra) Ltd,TTML,"Telecom Services","17297.200528496",,"-97.58314036850652","-101.7080501072188",,"-102.77470567933396","-157.29125150264542","-8.742096926235877","45.00542303839182",,,"34.26555858058318","48.52336046232437","-6.312713259202766"
Lakshmi Machine Works Ltd,LAXMIMACH,"Industrial Machinery","17201.44611","14.821337553721692","9.201782435938318","7.721237017965108","9.281727760276649","5.5377449074564336","5.067011421030641","9.326748757720031","11.954010637726316","8.71262926829888","13.820627006554123","7.693095302099237","2.9049175720856804","16.214307572797246"
