Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
Frontier Capital Ltd,FRONTCAP,"Diversified Financials","33.038223273","-14.31","0.05","0","0.07","3.11",,"0.35000000000000003","0","0.59","2.450000000000001","0.07","-0.32","0.6599999999999986"
Nyssa Corporation Ltd,NYSSACORP,"Real Estate","33","22.869999999999997","0.12","0.64","2.36","38.230000000000004",,"9.56","0","5.72","30.16","2.36","4.57","8.070000000000002"
Cargosol Logistics Ltd,CARGOSOL,"Air Freight & Logistics","32.946","8.43","1.5","3.07","28.939999999999998","63.8",,"35.059999999999995","0","28.919999999999998","22.52","11.799999999999999","-0.35","41.28"
Veejay Lakshmi Engineering Works Ltd,VJLAXMIE,"Textiles","32.8811277","-6.140000000000001","0.44","4.12","28.59","62.14",,"19.39","0","20.150000000000002","20.09","19.95","7.27","42.05"
Heads UP Ventures Limited,HEADSUP,"Textiles","32.881004800999996","-8.14","1.35","0","0","16.259999999999998",,"15.219999999999999","0","2.31","13.939999999999998","0","-1.14","2.320000000000002"
Swojas Energy Foods Ltd,SWOEF,,"32.78944635","-29.42","0.43","0","0","3.88",,"0.53","0","0.37","3.5","0","0.06","0.3799999999999998"
Panjon Ltd,PANJON,"Pharmaceuticals","32.749528208","-5.21","2.72","1.08","1.44","17.389999999999997",,"12.559999999999999","0","2.4","14.849999999999998","0.14000000000000012","-0.42","2.54"
Jainex Aamcol Ltd,JAINEX,,"32.72491206","3.02","0.19","0","4.18","16.14",,"11.560000000000002","0","8.92","6.92","0.12999999999999975","2.1","9.219999999999999"
Sangal Papers Ltd,SANPA,"Paper Products","32.7076452","40.25","1.42","0","26.5","89.63",,"50.559999999999995","0","32.73","41.56","10.200000000000001","4.3","48.07"
Danube Industries Ltd,DANUBE,"Paper Products","32.64","1.6100000000000003","1.68","0.22","9.770000000000001","34.839999999999996",,"32.23","0","17.87","16.36","0.5599999999999998","-4.49","18.479999999999993"
Adeshwar Meditex Ltd,ADESHWAR,"Health Care Supplies","32.61502276","14.63","1.16","0.1","13.89","64.04",,"57.120000000000005","0","27.730000000000004","34.910000000000004","1.06","3.84","29.130000000000003"
Rodium Realty Ltd,RODIUM,"Real Estate","32.6056681","6.6","7.41","0.31","89.56","120.31",,"109.38","0","76.11","19.28","24.47","-1.8","101.03"
Jai Mata Glass Ltd,JAIMATAG,"Housewares","32.6","-6.91","0.56","0","0.06","3.2299999999999995",,"1.21","0","0.07","3.09","0.06","-0.17","0.13999999999999954"
Adcon Capital Services Ltd,ADCON,"Investment Banking & Brokerage","32.480728","1.3","1.3800000000000001","0","0","33.53",,"2.46","0","0.34","33","0","-1.7","0.530000000000002"
Shahi Shipping Ltd,SHAHISHIP,"Marine Transportation","32.468517760000005","-19.71","0.87","0","5.390000000000001","18.60000000000001",,"4.0600000000000005","0","8.54","5.869999999999997","3.22","3.97","12.730000000000011"
Zenith Healthcare Ltd,ZENITHHE,"Pharmaceuticals","32.458356","1.96","2.55","0","0","9.749999999999998",,"7.299999999999999","0","2.41","7.33","0","1.74","2.419999999999998"
Lerthai Finance Ltd,LERTHAI,"Diversified Financials","32.305","9.44","7.25","3.13","0","10.54",,"7.4","0","0.12","10.139999999999999","0","-0.65","0.4"
Machhar Industries Ltd,MACIND,,"32.3017576","11.34","3.23","0","1.14","14.959999999999999",,"6.51","0","1.6800000000000002","12.08","0.74","-0.21","2.879999999999999"
Kratos Energy & Infrastructure Ltd,KRATOSENER,"Conglomerates","32.24","4.22","0.02","0","0","6.43",,"3.6900000000000004","0","1.22","5.22","0","-1.31","1.2100000000000002"
Arrowhead Seperation Engineering Ltd,ARROWHEAD,"Industrial Machinery & Supplies & Components","32.18679","3.1900000000000013","3.11","0","1.79","24.78",,"24.18","0","6.3100000000000005","16.17","1.05","0.57","8.61"
Roni Households Ltd,RONI,"Plastic Products","32.1806576","0.5199999999999996","0.25","0","4.22","25.750000000000004",,"23.090000000000003","0","3.7399999999999998","18.259999999999998","3.6900000000000004","-7.41","7.4900000000000055"
Shubham Polyspin Ltd,SHUBHAM,"Textiles","32.135422","3.21","2.06","0","9","28.169999999999998",,"11.68","0","8.59","15.329999999999998","2.9399999999999995","5.03","12.84"
Blue Chip India Ltd,BLUECHIP,"Asset Management","32.021212860000006","-11.77","0.05","0.73","0","6.699999999999999",,"2.8099999999999996","0","4.67","2.030000000000001","0","-0.01","4.669999999999998"
