Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","PB Ratio","PS Ratio","Dividend Yield","EV/EBITDA Ratio","EV / Revenue Ratio","EV / Free Cash Flow","Price / Free Cash Flow","Price / CFO","EV / Invested Capital","Price / Sales","EV / EBIT Ratio","Sector PB","Sector PE","Sector Dividend Yield"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1980407.5701076603","28.44554904565663","2.139158824814818","2.1584635448493747","0.3416515931431315","13.254703012182095","2.581242419801964","401.068682490713","335.3780813052769","12.472022886538404","1.7102444289721754","2.1584635448493747","18.524858775139116","1.7847787623946858","13.697295110650469","1.876426309718709"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1572475.1066355698","34.252746942484315","17.21958307291549","6.410024281579071","1.6796475041128356","22.676492128624112","6.263616601657338","36.879778865101045","37.741818035607956","35.46563008334994","15.467677739435976","6.410024281579071","24.477245824541136","9.395760006110493","35.622550600186656","1.6214024416130537"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1292493.0053462","20.175645442233794","2.751280853964309","3.1679156214335786","1.146155200037776","13.520370342635779","2.6398424061813337","72.85866073444355","87.4332835009085","67.77859146389964","2.292658245210164","3.1679156214335786","14.066365263909738","2.5848589347625337","18.559317201667593","0.7618004589993831"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","990567.73873839","132.65939985782688","9.383584148922026","6.426949550360937","0.45671481966109245","16.20392815719095","7.870744026611723","31.227768091971527","25.499405064996257","12.55501061796581","3.7772764117223647","6.426949550360937","34.33934499226905","15.07506118075096","-166.21401613556694","0.3400219150141426"
ICICI Bank Ltd,ICICIBANK,"Private Banks","907662.5288359651","20.50919051300549","3.3613114552904317","3.845412887320875","0.773701845002477","12.16589944706964","3.2146641930337374","4.939796522412676","5.909033126754709","5.770833389511572","2.8099681083881056","3.845412887320875","12.555471974572841","2.5848589347625337","18.559317201667593","0.7618004589993831"
Infosys Ltd,INFY,"IT Services & Consulting","783709.666210575","29.874953921037434","8.859380588175298","4.9482555749147625","2.4299525375361553","18.589864503368705","4.828310632023886","33.235371646337306","34.061005094118606","31.087253717198532","7.898292359125955","4.9482555749147625","20.97516776045244","9.395760006110493","35.622550600186656","1.6214024416130537"
State Bank of India,SBIN,"Public Banks","707498.65070535","10.546356740407077","1.6432166637336807","1.1899235078799155",,"4.170236656894958","0.6669375056117403","18.331010464628797","32.70546354271573","32.70546354271573","0.9210027498681763","1.1899235078799155","4.346165353559137","2.5848589347625337","18.559317201667593","0.7618004589993831"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","675707.20308227","65.74946025905128","13.140174689968886","10.742562847094913","1.4604377836118014","42.98780066440101","10.57677588366089","47.5471128560799","48.29239587494783","43.68137585378951","12.574502487048406","10.742562847094913","46.653520552753854","11.450151516106503","57.65372818552274","1.2462104573186603"
Life Insurance Corporation Of India,LICI,"Insurance","644264.26582386","15.746080451068726","7.771620922463591","0.7484525855404393","0.9817399994879178","12.691641227407297","0.7000418274067637","23.767270564657558","25.410874620525927","24.6639957975036","7.26894370809823","0.7484525855404393","12.817425061458044","2.5848589347625337","18.559317201667593","0.7618004589993831"
ITC Ltd,ITC,"FMCG - Tobacco","634573.020095235","31.017148632285746","8.473404650786145","8.617648190471362","2.7051989221703288","21.183714336324012","8.353163685854424","45.173502705592114","46.60382203539683","36.939181068780755","8.180203582963864","8.617648190471362","22.597306242968756","11.450151516106503","57.65372818552274","1.2462104573186603"
Larsen and Toubro Ltd,LT,"Construction & Engineering","512934.9724705","39.27794256044243","5.001820312914739","2.2758129762919848","0.9112019174845413","17.653609319474796","2.640506640095733","43.283084599392716","37.305039907671045","28.080976119412384","2.7190865837607827","2.2758129762919848","19.818377013051922","7.221409012046209","51.941616477186834","0.4516689203640393"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","475332.30518685","30.27208668875621","6.962433612908116","4.266590417087193","2.968672304663373","17.66649691304441","4.074261320433452","21.210528279759348","22.21178996200234","21.174817586727105","6.131452608935012","4.266590417087193","21.092253958496748","9.395760006110493","35.622550600186656","1.6214024416130537"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","471975.55668495","32.660023837858816","6.153900551792903","8.582910879220188","0.47138643857463636","37.7482883507562","13.724228369716213",,,,"2.0394956493354335","8.582910879220188","39.08411097113763","2.5848589347625337","18.559317201667593","0.7618004589993831"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","440517.900492","46.00046160365398","6.564511331733972","8.830284429684024","0.7352941176470588","30.838116436793197","8.581877274096726","43.10059834795941","44.34816886170276","36.30149373892664","6.083088383117617","8.830284429684024","37.79904316055643","6.5551937051261975","51.23023092207714","0.48108310721408415"
NTPC Ltd,NTPC,"Power Generation","401587.42793961003","19.296057587254683","2.432060821468853","2.183824671779039","1.8713026681154168","11.23179812550253","3.459828619535489","63.823366400895026","40.284955559729646","9.846548118777461","1.5816753801811578","2.183824671779039","15.731950962550219","3.787007383301973","25.07445908285819","1.131261574042328"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","383700.04533533996","28.447090444636004","4.4805928036729865","2.6243832004977907","1.0242459501315133","16.485122577931165","2.5790977193472484","49.60783104448508","50.47887772132558","22.837793081128023","4.397187385112168","2.6243832004977907","21.402934784984733","7.273486839446574","43.2017612050237","0.4559918237589867"
