Name,Ticker,"Sub-Sector","Market Cap","Alpha","Beta","Sharpe Ratio","Volatility vs Nifty","100D SMA","200D SMA","Volatility"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1980407.5701076603","-0.900377426230226","0.99855937145312","-0.006449072225606","1.5360418120168022","2968.3825","2877.888249999999","21.531168858180422"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1572475.1066355698","-4.05720474269584","0.604785942886165","-0.036576214552654","1.514692110002258","4110.583500000001","4006.4494999999997","21.23190354160455"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1292493.0053462","-8.7405344615788","1.12100613296732","-0.074920517886135","1.4969558786858017","1598.7275000000006","1560.8697499999994","20.983289351290967"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","990567.73873839","20.4590974012961","0.577131302765967","0.146706224942247","1.5542889014785954","1440.0910000000001","1284.5845","21.786943903689338"
ICICI Bank Ltd,ICICIBANK,"Private Banks","907662.5288359651","8.33141772994046","1.30155420423052","0.095769834753732","1.4483168489719322","1180.6905000000002","1109.5327500000003","20.301501164488716"
Infosys Ltd,INFY,"IT Services & Consulting","783709.666210575","-6.916015468968","0.78327220822738","-0.040251958066164","1.642687931540006","1664.6959999999995","1618.1342500000007","23.02606020134568"
State Bank of India,SBIN,"Public Banks","707498.65070535","9.19782586321209","1.35144426325814","0.078991626004737","2.0274928376698313","828.6015000000001","761.7622499999998","28.41998850884341"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","675707.20308227","-3.8731096436902","0.202252624755807","-0.056298173885503","1.3461958176971545","2586.7914999999994","2506.4280000000003","18.870039370189126"
Life Insurance Corporation Of India,LICI,"Insurance","644264.26582386","-0.210473308870279",,"-0.025053542595359","2.793588858963939","1037.4820000000002","978.7827499999995","39.15859123893835"
ITC Ltd,ITC,"FMCG - Tobacco","634573.020095235","19.2713405354837","0.634169909675241","0.113311187379039","1.4062161694241888","462.7529999999999","449.67275000000006","19.711363035894145"
Larsen and Toubro Ltd,LT,"Construction & Engineering","512934.9724705","14.6338450911234","1.11920916629881","0.123186573353566","1.9394483200471728","3591.2265","3555.48175","27.18584152069504"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","475332.30518685","0.214129638415552","0.929341163657744","-0.000068818691256","1.6300102275145536","1528.5735000000004","1533.67375","22.848352938450507"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","471975.55668495","-12.9900692155517","1.86283716629596","-0.059222984833514","1.8202605046285931","6947.0745","6993.566250000003","25.515149382278818"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","440517.900492","23.9477221697954","0.784770493961256","0.13835670930487","1.3405445866772456","1621.3735000000006","1529.9319999999996","18.790824332945782"
NTPC Ltd,NTPC,"Power Generation","401587.42793961003","34.8991859170768","0.851276283238251","0.190570641591093","2.232787896889899","382.0395000000001","352.9675000000001","31.297672274504517"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","383700.04533533996","13.5270359162087","0.884987731276566","0.061991991885215","1.5188009053013236","12475.736500000005","11789.961250000002","21.289497784610035"
Axis Bank Ltd,AXISBANK,"Private Banks","383678.81674458","5.50709755067142","1.50424966719687","0.040615908394925","1.7443813338548826","1193.0500000000006","1138.63075","24.451527789450978"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","365754.43860764","-10.3239243233819","0.941266229018781","-0.104627326936299","1.6375025168131903","1754.2109999999998","1771.8137499999998","22.953374653849956"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","365331.30814224","22.1686614132612","1.02641844291182","0.089417149845764","2.646174903128865","296.152","271.05475000000007","37.092244639316874"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","354119.4567646","27.1147769570241","1.75565359804468","0.147800191403602","2.038228221680617","1013.9679999999998","948.03","28.570469676794264"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","342623.97496336","-1.33365108583987","0.595262776781772","-0.004109288324155","1.722335647126928","4873.7485","4457.674249999997","24.142506641835926"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","337018.53140122996","22.3111369592899","1.40848316926614","0.073433639229597","2.8908598442548192","3100.3000000000006","3081.8172500000005","40.52206845219836"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","336486.49030176003","34.2533786841518","1.26761710134839","0.200068403183523","2.121182155024748","2680.6510000000007","2236.77375","29.733260384905005"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335202.07043782005","3.952985631341","0.888554001664369","0.042363235430313","1.6174828626742481","10948.065999999997","10376.415749999998","22.672753025990765"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","330461.4782546","8.61561794054281","0.99895567578798","0.073432507196882","1.6279246129140088","3431.302000000002","3546.75925","22.819118239377794"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","328536.80179572","31.713885508408","1.0330630734618","0.180969264655889","1.7241344351606989","9721.408499999998","8736.873749999999","24.167720805013126"
Asian Paints Ltd,ASIANPAINT,"Paints","313930.412771535","-9.03922833310483","0.67271766118366","-0.067692985160133","1.3368360393223633","2994.0890000000004","3016.8090000000007","18.738840488045305"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","310919.18566917","30.8289932562328","0.589699199194931","0.123428826564311","2.049646419709691","328.274","294.11350000000016","28.73052205811411"
